MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Origin,age
29.0,4,90.0,70,1937,90.0,Europe,43
33.0,4,91.0,53,1795,91.0,Japan,43
20.0,6,225.0,100,3651,225.0,US,43
18.0,6,250.0,78,3574,250.0,US,43
18.5,6,250.0,110,3645,250.0,US,43
17.5,6,258.0,95,3193,258.0,US,43
29.5,4,97.0,71,1825,97.0,Europe,43
32.0,4,85.0,70,1990,85.0,Japan,43
28.0,4,97.0,75,2155,97.0,Japan,43
26.5,4,140.0,72,2565,140.0,US,43
20.0,4,130.0,102,3150,130.0,Europe,43
13.0,8,318.0,150,3940,318.0,US,43
19.0,4,120.0,88,3270,120.0,Europe,43
19.0,6,156.0,108,2930,156.0,Japan,43
16.5,6,168.0,120,3820,168.0,Europe,43
16.5,8,350.0,180,4380,350.0,US,43
13.0,8,350.0,145,4055,350.0,US,43
13.0,8,302.0,130,3870,302.0,US,43
13.0,8,318.0,150,3755,318.0,US,43
31.5,4,98.0,68,2045,98.0,Japan,42
30.0,4,111.0,80,2155,111.0,US,42
36.0,4,79.0,58,1825,79.0,Europe,42
25.5,4,122.0,96,2300,122.0,US,42
33.5,4,85.0,70,1945,85.0,Japan,42
17.5,8,305.0,145,3880,305.0,US,42
17.0,8,260.0,110,4060,260.0,US,42
15.5,8,318.0,145,4140,318.0,US,42
15.0,8,302.0,130,4295,302.0,US,42
17.5,6,250.0,110,3520,250.0,US,42
20.5,6,231.0,105,3425,231.0,US,42
19.0,6,225.0,100,3630,225.0,US,42
18.5,6,250.0,98,3525,250.0,US,42
16.0,8,400.0,180,4220,400.0,US,42
15.5,8,350.0,170,4165,350.0,US,42
15.5,8,400.0,190,4325,400.0,US,42
16.0,8,351.0,149,4335,351.0,US,42
29.0,4,97.0,78,1940,97.0,Europe,42
24.5,4,151.0,88,2740,151.0,US,42
26.0,4,97.0,75,2265,97.0,Japan,42
25.5,4,140.0,89,2755,140.0,US,42
30.5,4,98.0,63,2051,98.0,US,42
33.5,4,98.0,83,2075,98.0,US,42
30.0,4,97.0,67,1985,97.0,Japan,42
30.5,4,97.0,78,2190,97.0,Europe,42
22.0,6,146.0,97,2815,146.0,Japan,42
21.5,4,121.0,110,2600,121.0,Europe,42
21.5,3,80.0,110,2720,80.0,Japan,42
43.1,4,90.0,48,1985,90.0,Europe,41
36.1,4,98.0,66,1800,98.0,US,41
32.8,4,78.0,52,1985,78.0,Japan,41
39.4,4,85.0,70,2070,85.0,Japan,41
36.1,4,91.0,60,1800,91.0,Japan,41
19.9,8,260.0,110,3365,260.0,US,41
19.4,8,318.0,140,3735,318.0,US,41
20.2,8,302.0,139,3570,302.0,US,41
19.2,6,231.0,105,3535,231.0,US,41
20.5,6,200.0,95,3155,200.0,US,41
20.2,6,200.0,85,2965,200.0,US,41
25.1,4,140.0,88,2720,140.0,US,41
20.5,6,225.0,100,3430,225.0,US,41
19.4,6,232.0,90,3210,232.0,US,41
20.6,6,231.0,105,3380,231.0,US,41
20.8,6,200.0,85,3070,200.0,US,41
18.6,6,225.0,110,3620,225.0,US,41
18.1,6,258.0,120,3410,258.0,US,41
19.2,8,305.0,145,3425,305.0,US,41
17.7,6,231.0,165,3445,231.0,US,41
18.1,8,302.0,139,3205,302.0,US,41
17.5,8,318.0,140,4080,318.0,US,41
30.0,4,98.0,68,2155,98.0,US,41
27.5,4,134.0,95,2560,134.0,Japan,41
27.2,4,119.0,97,2300,119.0,Japan,41
30.9,4,105.0,75,2230,105.0,US,41
21.1,4,134.0,95,2515,134.0,Japan,41
23.2,4,156.0,105,2745,156.0,US,41
23.8,4,151.0,85,2855,151.0,US,41
23.9,4,119.0,97,2405,119.0,Japan,41
20.3,5,131.0,103,2830,131.0,Europe,41
17.0,6,163.0,125,3140,163.0,Europe,41
21.6,4,121.0,115,2795,121.0,Europe,41
16.2,6,163.0,133,3410,163.0,Europe,41
31.5,4,89.0,71,1990,89.0,Europe,41
29.5,4,98.0,68,2135,98.0,Japan,41
21.5,6,231.0,115,3245,231.0,US,40
19.8,6,200.0,85,2990,200.0,US,40
22.3,4,140.0,88,2890,140.0,US,40
20.2,6,232.0,90,3265,232.0,US,40
20.6,6,225.0,110,3360,225.0,US,40
17.0,8,305.0,130,3840,305.0,US,40
17.6,8,302.0,129,3725,302.0,US,40
16.5,8,351.0,138,3955,351.0,US,40
18.2,8,318.0,135,3830,318.0,US,40
16.9,8,350.0,155,4360,350.0,US,40
15.5,8,351.0,142,4054,351.0,US,40
19.2,8,267.0,125,3605,267.0,US,40
18.5,8,360.0,150,3940,360.0,US,40
31.9,4,89.0,71,1925,89.0,Europe,40
34.1,4,86.0,65,1975,86.0,Japan,40
35.7,4,98.0,80,1915,98.0,US,40
27.4,4,121.0,80,2670,121.0,US,40
25.4,5,183.0,77,3530,183.0,Europe,40
23.0,8,350.0,125,3900,350.0,US,40
27.2,4,141.0,71,3190,141.0,Europe,40
23.9,8,260.0,90,3420,260.0,US,40
34.2,4,105.0,70,2200,105.0,US,40
34.5,4,105.0,70,2150,105.0,US,40
31.8,4,85.0,65,2020,85.0,Japan,40
37.3,4,91.0,69,2130,91.0,Europe,40
28.4,4,151.0,90,2670,151.0,US,40
28.8,6,173.0,115,2595,173.0,US,40
26.8,6,173.0,115,2700,173.0,US,40
33.5,4,151.0,90,2556,151.0,US,40
41.5,4,98.0,76,2144,98.0,Europe,39
38.1,4,89.0,60,1968,89.0,Japan,39
32.1,4,98.0,70,2120,98.0,US,39
37.2,4,86.0,65,2019,86.0,Japan,39
28.0,4,151.0,90,2678,151.0,US,39
26.4,4,140.0,88,2870,140.0,US,39
24.3,4,151.0,90,3003,151.0,US,39
19.1,6,225.0,90,3381,225.0,US,39
34.3,4,97.0,78,2188,97.0,Europe,39
29.8,4,134.0,90,2711,134.0,Japan,39
31.3,4,120.0,75,2542,120.0,Japan,39
37.0,4,119.0,92,2434,119.0,Japan,39
32.2,4,108.0,75,2265,108.0,Japan,39
46.6,4,86.0,65,2110,86.0,Japan,39
27.9,4,156.0,105,2800,156.0,US,39
40.8,4,85.0,65,2110,85.0,Japan,39
44.3,4,90.0,48,2085,90.0,Europe,39
43.4,4,90.0,48,2335,90.0,Europe,39
36.4,5,121.0,67,2950,121.0,Europe,39
30.0,4,146.0,67,3250,146.0,Europe,39
44.6,4,91.0,67,1850,91.0,Japan,39
33.8,4,97.0,67,2145,97.0,Japan,39
29.8,4,89.0,62,1845,89.0,Europe,39
32.7,6,168.0,132,2910,168.0,Japan,39
23.7,3,70.0,100,2420,70.0,Japan,39
35.0,4,122.0,88,2500,122.0,Europe,39
32.4,4,107.0,72,2290,107.0,Japan,39
27.2,4,135.0,84,2490,135.0,US,39
26.6,4,151.0,84,2635,151.0,US,39
25.8,4,156.0,92,2620,156.0,US,38
23.5,6,173.0,110,2725,173.0,US,38
30.0,4,135.0,84,2385,135.0,US,38
39.1,4,79.0,58,1755,79.0,Japan,38
39.0,4,86.0,64,1875,86.0,US,38
35.1,4,81.0,60,1760,81.0,Japan,38
32.3,4,97.0,67,2065,97.0,Japan,38
37.0,4,85.0,65,1975,85.0,Japan,38
37.7,4,89.0,62,2050,89.0,Japan,38
34.1,4,91.0,68,1985,91.0,Japan,38
34.7,4,105.0,63,2215,105.0,US,38
34.4,4,98.0,65,2045,98.0,US,38
29.9,4,98.0,65,2380,98.0,US,38
33.0,4,105.0,74,2190,105.0,Europe,38
34.5,4,100.0,65,2320,100.0,Europe,38
33.7,4,107.0,75,2210,107.0,Japan,38
32.4,4,108.0,75,2350,108.0,Japan,38
32.9,4,119.0,100,2615,119.0,Japan,38
31.6,4,120.0,74,2635,120.0,Japan,38
28.1,4,141.0,80,3230,141.0,Europe,38
30.7,6,145.0,76,3160,145.0,Europe,38
25.4,6,168.0,116,2900,168.0,Japan,38
24.2,6,146.0,120,2930,146.0,Japan,38
22.4,6,231.0,110,3415,231.0,US,38
26.6,8,350.0,105,3725,350.0,US,38
20.2,6,200.0,88,3060,200.0,US,38
17.6,6,225.0,85,3465,225.0,US,38
28.0,4,112.0,88,2605,112.0,US,37
27.0,4,112.0,88,2640,112.0,US,37
34.0,4,112.0,88,2395,112.0,US,37
31.0,4,112.0,85,2575,112.0,US,37
29.0,4,135.0,84,2525,135.0,US,37
27.0,4,151.0,90,2735,151.0,US,37
24.0,4,140.0,92,2865,140.0,US,37
23.0,4,151.0,92,3035,151.0,US,37
36.0,4,105.0,74,1980,105.0,Europe,37
37.0,4,91.0,68,2025,91.0,Japan,37
31.0,4,91.0,68,1970,91.0,Japan,37
38.0,4,105.0,63,2125,105.0,US,37
36.0,4,98.0,70,2125,98.0,US,37
36.0,4,120.0,88,2160,120.0,Japan,37
36.0,4,107.0,75,2205,107.0,Japan,37
34.0,4,108.0,70,2245,108.0,Japan,37
38.0,4,91.0,67,1965,91.0,Japan,37
32.0,4,91.0,67,1965,91.0,Japan,37
38.0,4,91.0,67,1995,91.0,Japan,37
25.0,6,181.0,110,2945,181.0,US,37
38.0,6,262.0,85,3015,262.0,US,37
26.0,4,156.0,92,2585,156.0,US,37
22.0,6,232.0,112,2835,232.0,US,37
32.0,4,144.0,96,2665,144.0,Japan,37
36.0,4,135.0,84,2370,135.0,US,37
27.0,4,151.0,90,2950,151.0,US,37
27.0,4,140.0,86,2790,140.0,US,37
44.0,4,97.0,52,2130,97.0,Europe,37
32.0,4,135.0,84,2295,135.0,US,37
28.0,4,120.0,79,2625,120.0,US,37
31.0,4,119.0,82,2720,119.0,US,37
